Timestamp,Temperature (C),Humidity (%),Device
2025-11-24 09:39:48,26.1,39.7,arduino_uno
2025-11-24 09:39:50,26.1,39.7,arduino_uno
2025-11-24 09:39:52,26.1,39.8,arduino_uno
2025-11-24 09:39:54,26.1,39.8,arduino_uno
2025-11-24 09:39:56,26.1,40.0,arduino_uno
2025-11-24 09:39:58,26.1,39.9,arduino_uno
2025-11-24 09:40:00,26.1,39.9,arduino_uno
2025-11-24 09:40:02,26.0,40.0,arduino_uno
2025-11-24 09:40:04,26.0,40.2,arduino_uno
2025-11-24 09:40:06,26.0,40.3,arduino_uno
2025-11-24 09:40:08,26.0,40.4,arduino_uno
2025-11-24 09:40:10,26.0,40.5,arduino_uno
2025-11-24 09:40:12,26.0,40.5,arduino_uno
2025-11-24 09:40:14,25.9,40.3,arduino_uno
2025-11-24 09:40:16,25.9,40.3,arduino_uno
2025-11-24 09:40:18,25.9,40.3,arduino_uno
2025-11-24 09:40:20,25.9,40.3,arduino_uno
2025-11-24 09:40:22,25.9,40.3,arduino_uno
2025-11-24 09:40:24,25.9,40.3,arduino_uno
2025-11-24 09:40:26,25.9,40.3,arduino_uno
2025-11-24 09:40:28,25.9,40.4,arduino_uno
2025-11-24 09:40:30,25.9,40.5,arduino_uno
2025-11-24 09:40:32,25.8,40.6,arduino_uno
2025-11-24 09:40:34,25.8,40.7,arduino_uno
2025-11-24 09:40:36,25.8,40.7,arduino_uno
2025-11-24 09:40:38,25.8,40.7,arduino_uno
2025-11-24 09:40:40,25.8,40.7,arduino_uno
2025-11-24 09:40:42,25.8,40.8,arduino_uno
2025-11-24 09:40:44,25.8,40.8,arduino_uno
2025-11-24 09:40:46,25.7,40.8,arduino_uno
2025-11-24 09:40:48,25.7,40.8,arduino_uno
2025-11-24 09:40:50,25.7,40.7,arduino_uno
2025-11-24 09:40:52,25.7,40.6,arduino_uno
2025-11-24 09:40:54,25.7,40.8,arduino_uno
2025-11-24 09:40:56,25.7,40.8,arduino_uno
2025-11-24 09:40:58,25.7,40.9,arduino_uno
2025-11-24 09:41:00,25.7,40.9,arduino_uno
2025-11-24 09:41:02,25.7,40.9,arduino_uno
2025-11-24 09:41:04,25.7,41.0,arduino_uno
2025-11-24 09:41:06,25.7,41.2,arduino_uno
2025-11-24 09:41:08,25.7,41.4,arduino_uno
2025-11-24 09:41:10,25.6,41.5,arduino_uno
2025-11-24 09:41:12,25.7,41.4,arduino_uno
2025-11-24 09:41:14,25.6,41.4,arduino_uno
2025-11-24 09:41:16,25.6,41.4,arduino_uno
2025-11-24 09:41:18,25.6,41.4,arduino_uno
2025-11-24 09:41:20,25.6,41.4,arduino_uno
2025-11-24 09:41:22,25.6,41.4,arduino_uno
2025-11-24 09:41:24,25.6,41.2,arduino_uno
2025-11-24 09:41:26,25.6,41.2,arduino_uno
2025-11-24 09:41:28,25.6,41.1,arduino_uno
